Support_ID;Stations_ANFR_Orange;Nb_stations_orange;Exploitant_Orange;Latitude;Longitude;Hauteur_m;Nature_support;Proprietaire;Adresse;Code_postal;Code_INSEE;Departement;Technologies_systemes
2325404;0012290398;1;Orange;46.1383333;4.93;36.0;Pylône autostable;ATC FRANCE;Prothière - Chemin du Sorbier;01400;01001;01;LTE 700 | LTE 800 | UMTS 900
442019;0012290240;1;Orange;46.0077778;5.4169444;31.4;Pylône autostable;HIVORY;Les Etrables - chem rural de la côte savin;01640;01002;01;LTE 700 | LTE 800 | UMTS 900
1034511;0012290303;1;Orange;45.9605556;5.3597222;15.8;Pylône tubulaire;TOTEM;Rue Roger Vaillant - Central FT;01500;01004;01;5G NR 3500 | 5G NR 700 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 800 | UMTS 900
2243791;0012290379;1;Orange;45.9788889;5.3466667;20.0;Pylône autostable;TOTEM;ZAC en Point Boeuf - Rue René Caccini;01500;01004;01;5G NR 3500 | 5G NR 700 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 800
591214;0010220142 | 0012290347;2;Orange | Orange service fixe;45.9530556;5.3697222;24.5;Pylône autostable;TDF;Les Araines - Station TDF de BETTANT;01500;01004;01;FH | 5G NR 3500 | 5G NR 700 | LTE 1800 | LTE 700 | LTE 800 | UMTS 900
666562;0010220004 | 0012290025;2;Orange | Orange service fixe;45.9641667;5.3375;30.0;Pylône autostable;TOTEM;1011, r Léon Blum;01500;01004;01;FH | 5G NR 3500 | 5G NR 700 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 800 | UMTS 900
753464;0012290147;1;Orange;45.9544444;5.3458333;29.0;Immeuble;Société HLM;9040 rue Gustave Noblemaire - HLM Bât C;01500;01004;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 700 | LTE 800 | UMTS 900
753951;0012290235;1;Orange;45.9666667;5.3544444;19.0;Immeuble;Société HLM;R Salvator Allende - Rés.Le Tiret Bât. C;01500;01004;01;5G NR 3500 | 5G NR 700 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 700 | LTE 800 | UMTS 900
549411;0010220052 | 0012290082;2;Orange | Orange service fixe;45.9958333;4.9019444;18.0;Pylône autostable;TOTEM;rue Les Chenes - Le Bourg;01330;01005;01;FH | GSM 900 | LTE 1800 | LTE 2100 | LTE 800 | UMTS 900
2803131;0012290388;1;Orange;45.9952778;5.3405556;28.0;Pylône autostable;ATC FRANCE;La Chaume - PRE MEUNIER D77;01500;01007;01;5G NR 3500 | 5G NR 700 | LTE 1800 | LTE 700 | LTE 800 | UMTS 900
2852468;0012290368;1;Orange;46.0266667;5.3333333;24.0;Pylône autostable;ATC FRANCE;MORTAISSON - Route Chez Barre;01500;01007;01;5G NR 3500 | 5G NR 700 | LTE 1800 | LTE 800 | UMTS 900
591213;0012290236;1;Orange;45.9958333;5.3625;31.0;Pylône autostable;HIVORY;Chenavassiere;01500;01007;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 800 | UMTS 900
669518;0010220018 | 0012290105;2;Orange | Orange service fixe;45.8863889;5.7919444;17.0;Pylône autostable;TOTEM;Bezonne;01350;01010;01;FH | 5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 700 | LTE 800 | UMTS 900
1636734;0012290323;1;Orange;46.2036111;5.6505556;31.0;Pylône autostable;HIVORY;Le Jora;01100;01011;01;LTE 700 | LTE 800 | UMTS 900
753495;0010220078 | 0012290070;2;Orange | Orange service fixe;46.2091667;5.6375;13.0;Pylône autostable;TOTEM;LA GOTETTE - LA COMBE AUX OURS;01100;01011;01;FH | 5G NR 3500 | GSM 900 | LTE 1800 | LTE 700 | LTE 800 | UMTS 900
3267;0010220014;1;Orange service fixe;46.0219444;5.5125;12.0;Pylône autostable;TOTEM;Maupra;01110;01012;01;FH
3269;0010220015;1;Orange service fixe;46.0119444;5.5191667;12.0;Pylône autostable;ORANGE Services Fixes;Salandrou;01110;01012;01;FH
350544;0012290294;1;Orange;46.0030556;5.5208333;30.4;Pylône autostable;Conseil Départemental;Bois de Bougeon - RD34;01110;01012;01;LTE 700 | LTE 800 | UMTS 900
338843;0010220092;1;Orange service fixe;45.8938889;5.4919444;3.0;Mât;ORANGE Services Fixes;Les Luets - D 104;01230;01013;01;FH
350546;0012290291;1;Orange;45.8933333;5.4822222;25.0;Pylône autostable;Conseil Départemental;CALAMENDRET AU SANGLE - chem rural du cros de l'air;01230;01013;01;LTE 700 | LTE 800 | UMTS 900
1778730;0012290108;1;Orange;46.2833333;5.66;29.0;Pylône autostable;TOTEM;ALLÉE DES FLEURS;01100;01014;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 700 | LTE 800 | UMTS 900
443290;0012290282;1;Orange;46.2925;5.6752778;19.0;Pylône autostable;HIVORY;Sur Lac;01100;01014;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 700 | LTE 800 | UMTS 900
2677401;0012290459;1;Orange;45.715;5.6641667;38.3;Pylône autostable;PHOENIX FRANCE INFRASTRUCTURES;PRE DUGAS - CHEMIN RURAL - PROCHE STATION EPURATION - DEPARTEMENTALE 10;01300;01015;01;LTE 700 | LTE 800 | UMTS 900
2760060;0012290465;1;Orange;45.7011111;5.6266667;14.3;Pylône autostable;PHOENIX FRANCE INFRASTRUCTURES;LE COUARD - LIEU-DIT LE COUARD;01300;01015;01;LTE 700 | LTE 800 | UMTS 900
3105699;0012290495;1;Orange;45.9394444;5.4658333;11.5;Pylône autostable;CELLNEX;TERRES LONGUES - CHEMIN RURAL DU PLATEAU DE SUERME;1230;01017;01;LTE 700 | LTE 800 | UMTS 900
497384;0012290373;1;Orange;45.9908333;4.8122222;36.0;Pylône autostable;TDF;Les Littes - Les gillards;01480;01021;01;5G NR 3500 | 5G NR 700 | LTE 1800 | LTE 700 | LTE 800 | UMTS 900
753394;0012290087;1;Orange;46.0066667;4.8019444;19.0;Pylône autostable;TOTEM;En Biasse - D.44;01480;01021;01;5G NR 2100 | LTE 1800 | LTE 700 | LTE 800 | UMTS 900
448674;0012290160;1;Orange;46.2736111;5.1544444;46.0;Château d'eau - réservoir;Commune, communauté de commune;LES FERNAYES - Bois Bucles;01340;01024;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 700 | LTE 800 | UMTS 900
2242920;0012290378;1;Orange;46.3458333;4.9402778;30.0;Pylône autostable;ATC FRANCE;Aux Rosailles - Route de pont de vaux;01380;01025;01;5G NR 2100 | LTE 1800 | LTE 700 | LTE 800 | UMTS 900
2399883;0012290413;1;Orange;46.3386111;4.9855556;30.0;Pylône autostable;ORANGE;Départementale 58A - Chemin de Longecour;01380;01025;01;5G NR 2100 | LTE 1800 | LTE 700 | LTE 800
735933;0012290161;1;Orange;46.2980556;4.9541667;34.0;Pylône autostable;TOTEM;Le Petit Soulier;01380;01025;01;5G NR 2100 | GSM 900 | LTE 1800 | LTE 700 | LTE 800 | UMTS 900
